ISO 3166 A2,Date,New Cases
US,03102020,290
US,03112020,307
US,03122020,329
US,03132020,553
US,03142020,587
US,03152020,843
US,03162020,983
US,03172020,1748
US,03182020,2853
US,03192020,4582
US,03202020,5588
US,03212020,4825
US,03222020,9400
US,03232020,10189
US,03242020,11075
US,03252020,13355
US,03262020,17224
US,03272020,18691
US,03282020,19452
US,03292020,19913
US,03302020,20297
US,03312020,24742
US,04012020,26437
US,04022020,29874
US,04032020,32284

IT,02222020,58
IT,02232020,78
IT,02242020,72
IT,02252020,94
IT,02262020,147
IT,02272020,185
IT,02282020,234
IT,02292020,239
IT,03012020,573
IT,03022020,335
IT,03032020,446
IT,03042020,587
IT,03052020,769
IT,03062020,778
IT,03072020,1247
IT,03082020,1492
IT,03092020,1797
IT,03102020,977
IT,03112020,2313
IT,03122020,2651
IT,03132020,2547
IT,03142020,3497
IT,03152020,3590
IT,03162020,3233
IT,03172020,3526
IT,03182020,4207
IT,03192020,5322
IT,03202020,5986
IT,03212020,6557
IT,03222020,5560
IT,03232020,4789
IT,03242020,5249
IT,03252020,5210
IT,03262020,6203
IT,03272020,5909
IT,03282020,5974
IT,03292020,5217
IT,03302020,4025
IT,03312020,4053
IT,04012020,4782
IT,04022020,4668
IT,04032020,4585

ES,03062020,119
ES,03072020,124
ES,03082020,149
ES,03092020,557
ES,03102020,464
ES,03112020,582
ES,03122020,869
ES,03132020,2086
ES,03142020,1159
ES,03152020,1597
ES,03162020,1954
ES,03172020,1884
ES,03182020,2943
ES,03192020,3308
ES,03202020,3494
ES,03212020,3925
ES,03222020,3272
ES,03232020,6368
ES,03242020,6922
ES,03252020,7457
ES,03262020,8271
ES,03272020,7933
ES,03282020,7516
ES,03292020,6875
ES,03302020,7846
ES,03312020,7967
ES,04012020,8195
ES,04022020,7947
ES,04022020,7134

CN,01232020,259
CN,01242020,457
CN,01252020,688
CN,01262020,769
CN,01272020,1771
CN,01282020,1459
CN,01292020,1737
CN,01302020,1981
CN,01312020,2099
CN,02012020,2589
CN,02022020,2825
CN,02032020,3235
CN,02042020,3884
CN,02052020,3694
CN,02062020,3143
CN,02072020,3669
CN,02082020,2652
CN,02092020,2973
CN,02102020,2467
CN,02112020,2015
CN,02122020,14108
CN,02132020,5090
CN,02142020,2641
CN,02152020,2008
CN,02162020,2048
CN,02172020,1888
CN,02182020,1749
CN,02192020,391
CN,02202020,889
CN,02212020,823
CN,02222020,648
CN,02232020,214
CN,02242020,508
CN,02252020,406
CN,02262020,433
CN,02272020,327
CN,02282020,427
CN,02292020,573
CN,03012020,202
CN,03022020,125
CN,03032020,119
CN,03042020,139
CN,03052020,143
CN,03062020,99
CN,03072020,44
CN,03082020,40

DE,03042020,44
DE,03052020,283
DE,03062020,125
DE,03072020,130
DE,03082020,240
DE,03092020,184
DE,03102020,341
DE,03112020,401
DE,03122020,779
DE,03132020,930
DE,03142020,924
DE,03152020,1214
DE,03162020,1459
DE,03172020,2095
DE,03182020,2960
DE,03192020,2993
DE,03202020,4528
DE,03212020,2516
DE,03222020,2509
DE,03232020,4183
DE,03242020,3935
DE,03252020,4332
DE,03262020,6615
DE,03272020,6923
DE,03282020,6824
DE,03292020,4740
DE,03302020,4450
DE,03312020,4923
DE,04012020,6173
DE,04022020,6813
DE,04032020,6365

FR,02292020,43
FR,03012020,30
FR,03022020,61
FR,03032020,21
FR,03042020,73
FR,03052020,138
FR,03062020,230
FR,03072020,296
FR,03082020,260
FR,03092020,203
FR,03102020,372
FR,03112020,497
FR,03122020,595
FR,03132020,785
FR,03142020,838
FR,03152020,924
FR,03162020,1210
FR,03172020,1097
FR,03182020,1404
FR,03192020,1861
FR,03202020,1617
FR,03212020,1847
FR,03222020,1559
FR,03232020,3838
FR,03242020,2448
FR,03252020,2929
FR,03262020,3922
FR,03272020,3809
FR,03282020,4601
FR,03292020,2599
FR,03302020,4376
FR,03312020,7578
FR,04012020,4861
FR,04022020,2116
FR,04032020,5233

IR,02252020,34
IR,02262020,44
IR,02272020,106
IR,02282020,143
IR,02292020,205
IR,03012020,385
IR,03022020,453
IR,03032020,835
IR,03042020,586
IR,03052020,591
IR,03062020,1234
IR,03072020,1076
IR,03082020,743
IR,03092020,595
IR,03102020,881
IR,03112020,958
IR,03122020,1075
IR,03132020,1289
IR,03142020,1365
IR,03152020,1209
IR,03162020,1053
IR,03172020,1178
IR,03182020,1192
IR,03192020,1046
IR,03202020,1237
IR,03212020,966
IR,03222020,1028
IR,03232020,1411
IR,03242020,1762
IR,03252020,2206
IR,03262020,2389
IR,03272020,2926
IR,03282020,3076
IR,03292020,2901
IR,03302020,3186
IR,03312020,3110
IR,04012020,2988
IR,04022020,2875
IR,04032020,2715

GB,03042020,36
GB,03052020,29
GB,03062020,48
GB,03072020,45
GB,03082020,69
GB,03092020,43
GB,03102020,62
GB,03112020,77
GB,03122020,130
GB,03132020,208
GB,03142020,342
GB,03152020,251
GB,03162020,152
GB,03172020,407
GB,03182020,676
GB,03192020,643
GB,03202020,714
GB,03212020,1035
GB,03222020,665
GB,03232020,967
GB,03242020,1427
GB,03252020,1452
GB,03262020,2129
GB,03272020,2885
GB,03282020,2546
GB,03292020,2433
GB,03302020,2619
GB,03312020,3009
GB,04012020,4324
GB,04022020,4244
GB,04032020,4450

CH,03032020,28
CH,03042020,35
CH,03052020,27
CH,03062020,94
CH,03072020,54
CH,03082020,64
CH,03092020,42
CH,03102020,123
CH,03112020,155
CH,03122020,216
CH,03132020,271
CH,03142020,236
CH,03152020,842
CH,03162020,136
CH,03172020,389
CH,03182020,373
CH,03192020,1107
CH,03202020,1393
CH,03212020,1248
CH,03222020,611
CH,03232020,1321
CH,03242020,1082
CH,03252020,1020
CH,03262020,914
CH,03272020,1117
CH,03282020,1148
CH,03292020,753
CH,03302020,1093
CH,03312020,693
CH,04012020,1163
CH,04022020,1059
CH,04032020,779

TR,03162020,29
TR,03172020,51
TR,03182020,93
TR,03192020,168
TR,03202020,311
TR,03212020,277
TR,03222020,289
TR,03232020,293
TR,03242020,343
TR,03252020,561
TR,03262020,1192
TR,03272020,2096
TR,03282020,1704
TR,03292020,1815
TR,03302020,1610
TR,03312020,2704
TR,04012020,2148
TR,04022020,2456
TR,04032020,2786

BE,03052020,27
BE,03062020,59
BE,03072020,60
BE,03082020,31
BE,03092020,39
BE,03102020,28
BE,03112020,47
BE,03122020,85
BE,03132020,160
BE,03142020,130
BE,03152020,197
BE,03162020,172
BE,03172020,185
BE,03182020,243
BE,03192020,309
BE,03202020,462
BE,03212020,558
BE,03222020,586
BE,03232020,342
BE,03242020,526
BE,03252020,668
BE,03262020,1298
BE,03272020,1049
BE,03282020,1850
BE,03292020,1702
BE,03302020,1063
BE,03312020,876
BE,04012020,1189
BE,04022020,1384
